state,crop,year,yield,rainfall,temperature,humidity,n_req_kg_per_ha,p_req_kg_per_ha,k_req_kg_per_ha,n,p,k,ph,temperature_nasa,rainfall_nasa,humidity_nasa
andhra pradesh,rice,2012,3089.744545454545,1200.0,25.0,80.0,77.24361363636363,37.07693454545454,67.97438,78.0,45.0,22.0,6.8,28.27333333333333,885.7,66.21
andhra pradesh,rice,2013,2989.978181818182,1200.0,25.0,80.0,74.74945454545455,35.87973818181818,65.77952,78.0,45.0,22.0,6.8,27.691666666666663,1052.23,69.63250000000001
andhra pradesh,rice,2014,3375.668181818182,1200.0,25.0,80.0,84.39170454545454,40.50801818181819,74.2647,78.0,45.0,22.0,6.8,28.26833333333333,710.77,65.44583333333334
andhra pradesh,rice,2015,3312.2481818181814,1200.0,25.0,80.0,82.80620454545455,39.746978181818186,72.86946,78.0,45.0,22.0,6.8,28.352500000000003,671.24,65.745
andhra pradesh,rice,2016,3594.392727272728,1200.0,25.0,80.0,89.85981818181818,43.132712727272725,79.07664,78.0,45.0,22.0,6.8,28.305833333333336,741.02,65.38250000000001
andhra pradesh,rice,2017,3556.952727272728,1200.0,25.0,80.0,88.92381818181819,42.68343272727273,78.25296,78.0,45.0,22.0,6.8,28.301666666666662,845.83,67.44916666666667
assam,chickpea,1981,496.471,600.0,20.0,60.0,8.936478,4.96471,8.936478,60.0,18.0,38.0,5.8,23.62333333333333,1476.19,75.4975
assam,chickpea,1982,414.37700000000007,600.0,20.0,60.0,7.458786000000001,4.14377,7.458786000000001,60.0,18.0,38.0,5.8,23.7625,1289.55,72.0725
assam,chickpea,1983,450.875,600.0,20.0,60.0,8.11575,4.50875,8.11575,60.0,18.0,38.0,5.8,23.951666666666668,1143.81,66.87833333333333
assam,chickpea,1984,508.26,600.0,20.0,60.0,9.14868,5.0826,9.14868,60.0,18.0,38.0,5.8,24.0225,1066.5,65.7925
assam,chickpea,1985,472.0411111111111,600.0,20.0,60.0,8.496739999999999,4.720411111111111,8.496739999999999,60.0,18.0,38.0,5.8,24.363333333333333,1095.2,65.80083333333333
assam,chickpea,1986,462.268,600.0,20.0,60.0,8.320824,4.62268,8.320824,60.0,18.0,38.0,5.8,24.484166666666667,965.27,63.97333333333333
assam,chickpea,1987,430.36,600.0,20.0,60.0,7.74648,4.3036,7.74648,60.0,18.0,38.0,5.8,24.3025,1271.79,69.86166666666666
